nombre_canonico,variante,solapas_donde_aparece
ARENGO PIRAGINE GUSTAVO,ARENGO PIRAGINE GUSTAVO,RDV_otros_ministros
CLARA MUZZIO,CLARA MUZZIO,RVD JM-CM - ES
CLARA MUZZIO,MUZZIO MARIA CLARA,RDV_otros_ministros
EZEQUIEL SABOR,EZEQUIEL SABOR,RVD JM-CM - ES
EZEQUIEL SABOR,SABOR EZEQUIEL,RDV_otros_ministros
FERNAN QUIROS,FERMIN QUIROS,RVD JM-CM - ES
FERNAN QUIROS,FERNAN QUIROS,RVD JM-CM - ES
FERNAN QUIROS,GONZALEZ BERNALDO DE QUIROS FERNAN,RDV_otros_ministros
FRANCISCO QUINTANA,FRANCISCO QUINTANA,RDV_otros_ministros + RVD JM-CM - ES
GABINO TAPIA,GABINO TAPIA,RVD JM-CM - ES
GABINO TAPIA,TAPIA GABINO MARIO,RDV_otros_ministros
GABRIEL MRAIDA,GABRIEL MRAIDA,RVD JM-CM - ES
GABRIEL MRAIDA,MRAIDA GABRIEL SEBASTIAN,RDV_otros_ministros
GABRIEL SANCHEZ ZINNY,GABRIEL SANCHEZ ZINNY,RVD JM-CM - ES
GABRIEL SANCHEZ ZINNY,SANCHEZ ZINNY GABRIEL CESAR,RDV_otros_ministros
GABRIELA RICARDES,GABRIELA RICARDES,RVD JM-CM - ES
GABRIELA RICARDES,RICARDES GABRIELA BARBARA,RDV_otros_ministros
HERNAN LOMBARDI,HERNAN LOMBARDI,RVD JM-CM - ES
HERNAN LOMBARDI,LOMBARDI HERNAN SANTIAGO,RDV_otros_ministros
HORACIO GIMENEZ,GIMENEZ HORACIO ALBERTO,RDV_otros_ministros
HORACIO GIMENEZ,HORACIO GIMENEZ,RVD JM-CM - ES
IGNACIO BAISTROCCHI,BAISTROCCHI IGNACIO MIGUEL,RDV_otros_ministros
IGNACIO BAISTROCCHI,IGNACIO BAISTROCCHI,RVD JM-CM - ES
JORGE MACRI,JORGE MACRI,RVD JM-CM - ES
JORGE MACRI,MACRI JORGE,RDV_otros_ministros
MAXIMILIANO PINEIRO,MAXIMILIANO PINEIRO,RVD JM-CM - ES
MAXIMILIANO PINEIRO,PINEIRO MAXIMILIANO HERNAN,RDV_otros_ministros
MERCEDES MIGUEL,MERCEDES MIGUEL,RVD JM-CM - ES
MERCEDES MIGUEL,MIGUEL MARIA DE LAS MERCEDES,RDV_otros_ministros
PABLO BERECIARTUA,BERECIARTUA PABLO,RDV_otros_ministros
PABLO BERECIARTUA,PABLO BERECIARTUA,RVD JM-CM - ES
RUTH LANDERRECHE,LANDERRECHE ALONSO RUTH ELISA,RDV_otros_ministros
RUTH LANDERRECHE,RUTH LANDERRECHE,RVD JM-CM - ES
RUTH LANDERRECHE,RUTH LANDRECHE,RVD JM-CM - ES
