lamina_id	informe_id	seccion_id	orden_plantilla	escondida	origen	modo	itera_sobre	filtro	rol	cobertura	falta	notas
L-001	secco		1		sellador							
L-002	secco		2		sellador							
L-003	secco		3		sellador							
L-004	secco		4		sellador							
L-005	secco		5		sellador							
L-006	secco		6		sellador							
L-007	secco		7		sellador							
L-008	secco		8		sellador							
L-009	secco		9		sellador							
L-010	secco		10		sellador							
L-011	secco		11		sellador							
L-012	secco		12		sellador							
L-013	secco		13		sellador							
L-014	secco		14		sellador							
L-015	secco		15		sellador							
L-016	secco		16		sellador							
L-017	secco		17		sellador							
L-018	secco		18		sellador							
L-019	secco		19		sellador							
L-020	secco		20		sellador							
L-021	secco		21		sellador							
L-022	secco		22		sellador							
L-023	secco		23	sí	sellador							
L-024	secco		24		sellador							
L-025	secco		25	sí	sellador							
L-026	secco		26	sí	sellador							
L-027	secco		27	sí	sellador							
L-028	secco		28	sí	sellador							
L-029	secco		29		sellador							
L-030	jm		1		sellador							
L-031	jm		2		sellador							
L-032	jm		3		sellador							
L-033	jm		4		sellador							
L-034	jm		5		sellador							
L-035	jm		6		sellador							
L-036	jm		7		sellador							
L-037	jm		8		sellador							
L-038	jm		9		sellador							
L-039	jm		10	sí	sellador							
L-040	jm		11		sellador							
L-041	jm		12		sellador							
L-042	jm		13		sellador							
L-043	jm		14		sellador							
L-044	jm		15		sellador							
L-045	jm		16		sellador							
L-046	jm		17		sellador							
L-047	jm		18		sellador							
L-048	jm		19	sí	sellador							
L-049	jm		20		sellador							
L-050	jm		21		sellador							
L-051	jm		22		sellador							
L-052	jm		6		sellador							
