lamina_id	informe_id	seccion_id	orden_plantilla	escondida	origen	modo	itera_sobre	filtro	rol	cobertura	falta	notas
L-001	secco	portada	1		sellador							
L-002	secco	indice	2		sellador							
L-003	secco	portada_digital_directa	3		sellador							
L-004	secco	uno_a_uno_comunas	4		sellador							
L-005	secco	uno_a_uno_comunas	5		sellador							
L-006	secco	encuentro	6		sellador							
L-007	secco	encuentro	7		sellador							
L-008	secco	encuentro	8		sellador							
L-009	secco	comunicaciones_post	9		sellador							
L-010	secco	comunicaciones_post	10		sellador							
L-011	secco	ministros	11		sellador							
L-012	secco	ministros	12		sellador							
L-013	secco	m2	13		sellador							
L-014	secco	m2_status	14		sellador							
L-015	secco	m2_caudal	15		sellador							
L-016	secco	campana	16		sellador							
L-017	secco	campana	17		sellador							
L-018	secco	campana	18		sellador							
L-019	secco	campana	19		sellador							
L-020	secco	campana	20		sellador							
L-021	secco	campana	21		sellador							
L-022	secco	campana	22		sellador							
L-023	secco	campana	23	sí	sellador							
L-024	secco	analisis_datos	24		sellador							
L-025	secco	semana_jm_conversacion	25	sí	sellador							
L-026	secco	otros_temas	26	sí	sellador							
L-027	secco	impacto_comunicacional	27	sí	sellador							
L-028	secco	impacto_comunicacional	28	sí	sellador							
L-029	secco	cierre	29		sellador							
L-030	jm	portada	1		sellador							
L-031	jm	resumen_ejecutivo	2		sellador							
L-032	jm	resumen_ejecutivo	3		sellador							
L-033	jm	ecv_alcance_semanal	4		sellador							
L-034	jm	ecv_alcance_semanal	5		sellador							
L-035	jm	encuentro	6		sellador							
L-036	jm	comunicaciones_post	7		sellador							
L-037	jm	m2	8		sellador							
L-038	jm	m2_status	9		sellador							
L-039	jm	m2	10	sí	sellador							
L-040	jm	campana	11		sellador							
L-041	jm	campana	12		sellador							
L-042	jm	campana	13		sellador							
L-043	jm	campana	14		sellador							
L-044	jm	campana	15		sellador							
L-045	jm	campana	16		sellador							
L-046	jm	campana	17		sellador							
L-047	jm	campana	18		sellador							
L-048	jm	campana	19	sí	sellador							
L-049	jm	analisis_datos	20		sellador							
L-050	jm	resumen_ejecutivo	21		sellador							
L-051	jm	cierre	22		sellador							
L-052	jm	encuentro	6		sellador							
L-053	jm	encuentro	8		sellador							
