base_id	solapa	campo_logico	hoja	columna	encabezado	tipo_esperado	valores_incluidos	notas
rdv	RVD JM-CM - ES	inscriptos	RVD JM-CM - ES	K		numero		(resuelto)
rdv	RVD JM-CM - ES	fecha	RVD JM-CM - ES	E				filtro de período
m2	M2 periodo DIRECTA	campana	M2 periodo DIRECTA	B		texto		
m2	M2 periodo DIRECTA	fecha	M2 periodo DIRECTA	C		fecha		DEROGADA — ver S-02
m2	M2 periodo DIRECTA	envios	M2 periodo DIRECTA	D		numero		
m2	M2 periodo DIRECTA	entregados	M2 periodo DIRECTA	E		numero		
m2	M2 periodo DIRECTA	aperturas	M2 periodo DIRECTA	F		numero		
m2	M2 periodo DIRECTA	or	M2 periodo DIRECTA	G		numero		
m2	M2 periodo DIRECTA	clics	M2 periodo DIRECTA	H		numero		
m2	M2 periodo DIRECTA	ctor	M2 periodo DIRECTA	I		numero		
m2	M2 periodo DIGITAL	impresiones	M2 periodo DIGITAL	F		numero		
m2	M2 periodo DIGITAL	alcance_dig	M2 periodo DIGITAL	G		numero		
m2	M2 periodo DIGITAL	views	M2 periodo DIGITAL	I		numero		
m2	M2 periodo DIGITAL	clics_dig	M2 periodo DIGITAL	K		numero		
m2	M2 periodo DIGITAL	campana_dig	M2 periodo DIGITAL	B		texto		
rdv	RVD JM-CM - ES	figura	RVD JM-CM - ES	A		texto		filtro por figura
rdv	RVD JM-CM - ES	barrio	RVD JM-CM - ES	B		texto		
rdv	RVD JM-CM - ES	evento	RVD JM-CM - ES	C		texto		
rdv	RVD JM-CM - ES	status	RVD JM-CM - ES	I		texto	Realizada	lista blanca — ver D-21. El consumidor duplicado de Union.gs se retira en el paso del matcher
rdv	RVD JM-CM - ES	insc_mail	RVD JM-CM - ES	L		numero		
rdv	RVD JM-CM - ES	insc_cc	RVD JM-CM - ES	M		numero		
rdv	RVD JM-CM - ES	insc_ivr	RVD JM-CM - ES	N		numero		
rdv	RVD JM-CM - ES	insc_digital	RVD JM-CM - ES	O		numero		header real "RRSS" — duda resuelta
rdv	RVD JM-CM - ES	insc_dif	RVD JM-CM - ES	P		numero		
rdv	RVD JM-CM - ES	asistentes	RVD JM-CM - ES	Q		numero		
rdv	RVD JM-CM - ES	comuna	RVD JM-CM - ES	AA		texto		
rdv	RVD JM-CM - ES	poblacion	RVD JM-CM - ES	AB		numero		habitantes
