marcador	familia	informe_id	base_id	solapa	campo_logico	periodo_ref	operacion	valor_fijo	filtro	dimensiones	formato	catalogo	separador	notas
enc_alcance	enc	jm	digital	Alcance	alc_alcance		ULTIMO				miles			_39 (12/08) — re-apuntado de digital/Digital a digital/Alcance. DEROGA la resolucion del 04/08: aquella eligio Digital/dig_alcance por coherencia con enc_impresiones, y esa coherencia ya no sostiene nada — digital/Digital es uso=ignorar (R-22, congelada en dic-2025), asi que enc_impresiones tampoco publica. Se alineaba con un marcador que no funciona. Validado por D-06 (casos_validacion_2026-07-31): Orden Publico 28/07 = 65576, nota base 31/07 = 66345, y digital/Alcance de 3387-JULJDGGC trae exactamente 66345. OJO: la solapa NO tiene columna de fecha, y 3387 y 3289 traen dos filas identicas salvo el numero — ULTIMO no elige y salen «FALTA:@ultimo_sin_fecha_ambiguo» a proposito (guarda del _39 en opULTIMO). Publican San Cristobal 1412 y Retiro 47753. SIN VALIDAR — demo 12/08
ecv_encuentros	ecv	jm	rdv	RVD JM-CM - ES	inscriptos		CONTEO			ambito=jm	numero			CONTEO cuenta filas, no valores: da los encuentros de la ventana. El campo_logico es solo el ancla de columna que pide el despachador
ecv_insc_mail_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_mail/inscriptos		PCT			ambito=jm	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
ecv_insc_cc_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_cc/inscriptos		PCT			ambito=jm	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
ecv_insc_ivr_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_ivr/inscriptos		PCT			ambito=jm	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
ecv_insc_digital_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_digital/inscriptos		PCT			ambito=jm	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
ecv_insc_dif_pct	ecv	jm	rdv	RVD JM-CM - ES	insc_dif/inscriptos		PCT			ambito=jm	porcentaje_sin_signo			formato numero y no porcentaje (05/08): la caja de la lamina ya trae su propio % — «{{ecv_insc_mail}}({{ecv_insc_mail_pct}}%)». Con porcentaje saldria "59.5%%", el mismo bug que el formato fraccion arreglo el 04/08. Falta el formato "unidades de pct sin signo"; el prompt pidio no tocar los porcentajes, asi que se usa numero.
enc_audiencia	enc	jm	digital	Directa IVR	ivr_audiencia		SUMA				numero			SUMA y no ULTIMO (11/08): VALIDACION 3.2 verifico digito a digito que el deck publicado es la suma de las dos filas de la cuenta (40874+37763, 37055+34179, 13766+13833, 82+174). ULTIMO tomaba solo la segunda.
enc_atendidos	enc	jm	digital	Directa IVR	ivr_atendidos		SUMA				numero			SUMA y no ULTIMO (11/08): VALIDACION 3.2 verifico digito a digito que el deck publicado es la suma de las dos filas de la cuenta (40874+37763, 37055+34179, 13766+13833, 82+174). ULTIMO tomaba solo la segunda.
enc_e75	enc	jm	digital	Directa IVR	ivr_e75		SUMA				numero			SUMA y no ULTIMO (11/08): VALIDACION 3.2 verifico digito a digito que el deck publicado es la suma de las dos filas de la cuenta (40874+37763, 37055+34179, 13766+13833, 82+174). ULTIMO tomaba solo la segunda.
enc_marque1	enc	jm	digital	Directa IVR	ivr_marque1		SUMA				numero			SUMA y no ULTIMO (11/08): VALIDACION 3.2 verifico digito a digito que el deck publicado es la suma de las dos filas de la cuenta (40874+37763, 37055+34179, 13766+13833, 82+174). ULTIMO tomaba solo la segunda.
enc_e75_pct	enc	jm	digital	Directa IVR	ivr_e75/ivr_atendidos		PCT				porcentaje_sin_signo			PCT y no SUMA (11/08): sumar dos porcentajes da 77,6% donde el valor es 38,7%. El formato es numero porque la caja de la lamina ya trae su %, igual que los ecv_insc_*_pct.
enc_mails_enviados	enc	jm	digital	Directa Mail	mail_enviados		ULTIMO		mail_tipo=Convocatoria		numero			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_mails_entregados	enc	jm	digital	Directa Mail	mail_entregados		ULTIMO		mail_tipo=Convocatoria		numero			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_aperturas	enc	jm	digital	Directa Mail	mail_aperturas		ULTIMO		mail_tipo=Convocatoria		numero			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_clics_ctor	enc	jm	digital	Directa Mail	mail_clics		ULTIMO		mail_tipo=Convocatoria		numero			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_or	enc	jm	digital	Directa Mail	mail_or		ULTIMO		mail_tipo=Convocatoria		fraccion			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_ctor	enc	jm	digital	Directa Mail	mail_ctor		ULTIMO		mail_tipo=Convocatoria		fraccion			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
mail_envios	mail	jm	digital	Directa Mail	mail_id_cuenta		CONTEO			ambito=jm	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
mail_entregados	mail	jm	digital	Directa Mail	mail_entregados		SUMA			ambito=jm	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
mail_aperturas	mail	jm	digital	Directa Mail	mail_aperturas		SUMA			ambito=jm	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
mail_or	mail	jm	digital	Directa Mail	mail_aperturas/mail_entregados		PCT			ambito=jm	porcentaje_sin_signo			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
ivr_campanias	ivr	jm	digital	Directa IVR	ivr_id_cuenta		CONTEO			ambito=jm	numero_revisar			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
ivr_llamados	ivr	jm	digital	Directa IVR	ivr_llamados		SUMA			ambito=jm	miles_revisar			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
ivr_atendidos	ivr	jm	digital	Directa IVR	ivr_atendidos		SUMA			ambito=jm	miles_revisar			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
ivr_at_pct	ivr	jm	digital	Directa IVR	ivr_atendidos/ivr_llamados		PCT			ambito=jm	porcentaje_sin_signo_revisar			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
pauta_google	pauta	jm	digital	Seguimiento digital	sd_pauta_google		SUMA				miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
pauta_meta	pauta	jm	digital	Seguimiento digital	sd_pauta_meta		SUMA				miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
pauta_prog	pauta	jm	digital	Seguimiento digital	sd_pauta_prog		SUMA				miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
imp_total	imp	jm	digital	CAMPAÑAS_DESGLOCE_DIGITAL	des_impresiones		SUMA			ambito=jm	miles_revisar			MOVIDO el 10/08/2026 por el _25, cerrando el P0. ANTES: looker/resumen_metricas_dinamico, campo dig_impresiones, filtro `campana~=JM`, ventana por PUNTO (esa solapa no declara fecha_fin_periodo). Publicaba 3.958.570 sobre 4 fila(s) con estado ok, y ese valor bajaba: el _22 habia medido 6.084.893 el 10/08 y el mismo marcador dio 3.958.570 horas despues. AHORA: looker/DIGITAL, campo Impresiones, filtro `nombre_campaña~=JM && estado=Activa`, ventana POR REFERENCIA a Cuentas (R-25, solape). 51 filas. POR QUE: el P0 no objetaba que tuviera fuente sino que tuviera OTRA fuente que la de sus sumandos — un segundo camino al mismo numero, destinado a divergir. Ahora es la misma solapa y el mismo corte que imp_meta/imp_google/imp_prog, sin la condicion de plataforma, asi que imp_total == la suma de los tres es un control corrible y no una esperanza.
frecuencia	frecuencia	jm	looker	resumen_metricas_dinamico	dig_impresiones/alcance		RATIO			ambito=jm	numero_revisar			SIN VALIDAR - demo 12/08. Re-apuntado el 11/08 por el _27 2.1: venia digital/Digital dig_frecuencia ULTIMO filtro dig_jm_gcba=JM, y esa solapa NO es fuente (R-22), asi que publicaba error solapa_no_fuente. RATIO impresiones/alcance confirmada por V-68 y V-69. SIN estado=Activa a proposito: con ese filtro las unicas 2 filas Activa de la ventana son las dos JM y gcba_frecuencia quedaba en 0 de 26 - un par complementario con una mitad vacia no es un universo. El total JM no cierra contra el 11,9 publicado (C-22): abierto. · `_revisar` (19/08/2026): el denominador (alcance, col K) pasó de 475.723 el 17/08 a 745.632 el 19/08 — +56,7% en dos días sobre una ventana CERRADA de julio, sin explicación medida. El número se calcula bien; lo que no está cerrado es de qué universo sale. Se saca el sufijo editando esta celda cuando se explique (D-01, sin clasp push).
gcba_mail_envios	gcba	jm	digital	Directa Mail	mail_id_cuenta		CONTEO			ambito=gcba	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_mail_entregados	gcba	jm	digital	Directa Mail	mail_entregados		SUMA			ambito=gcba	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_mail_aperturas	gcba	jm	digital	Directa Mail	mail_aperturas		SUMA			ambito=gcba	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_mail_or	gcba	jm	digital	Directa Mail	mail_aperturas/mail_entregados		PCT			ambito=gcba	porcentaje_sin_signo			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_sms_envios	gcba	jm	digital	Directa SMS	sms_id_cuenta		CONTEO				miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_sms_entregados	gcba	jm	digital	Directa SMS	sms_entregados		SUMA				miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_pauta_google	gcba	jm	digital	Seguimiento digital	sd_pauta_google		SUMA				miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_pauta_meta	gcba	jm	digital	Seguimiento digital	sd_pauta_meta		SUMA				miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_pauta_prog	gcba	jm	digital	Seguimiento digital	sd_pauta_prog		SUMA				miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_imp_total	gcba	jm	digital	CAMPAÑAS_DESGLOCE_DIGITAL	des_impresiones		SUMA			ambito=gcba	miles_revisar			MOVIDO el 10/08/2026 por el _25, cerrando el P0. ANTES: looker/resumen_metricas_dinamico, campo dig_impresiones, filtro `campana!~=JM`, ventana por PUNTO (esa solapa no declara fecha_fin_periodo). Publicaba 2.029.539 sobre 22 fila(s) con estado ok, y ese valor bajaba: el _22 habia medido 6.084.893 el 10/08 y el mismo marcador dio 2.029.539 horas despues. AHORA: looker/DIGITAL, campo Impresiones, filtro `nombre_campaña!~=JM && estado=Activa`, ventana POR REFERENCIA a Cuentas (R-25, solape). 331 filas. POR QUE: el P0 no objetaba que tuviera fuente sino que tuviera OTRA fuente que la de sus sumandos — un segundo camino al mismo numero, destinado a divergir. Ahora es la misma solapa y el mismo corte que imp_meta/imp_google/imp_prog, sin la condicion de plataforma, asi que imp_total == la suma de los tres es un control corrible y no una esperanza.
gcba_frecuencia	gcba	jm	looker	resumen_metricas_dinamico	dig_impresiones/alcance		RATIO			ambito=gcba	numero_revisar			SIN VALIDAR - demo 12/08. Idem frecuencia, corte complementario !~=JM. Sin estado=Activa por el mismo motivo: con el filtro de estado daba 0 de 26. · `_revisar` (19/08/2026): el denominador (alcance, col K) pasó de 475.723 el 17/08 a 745.632 el 19/08 — +56,7% en dos días sobre una ventana CERRADA de julio, sin explicación medida. El número se calcula bien; lo que no está cerrado es de qué universo sale. Se saca el sufijo editando esta celda cuando se explique (D-01, sin clasp push).
ecv_barrios	ecv	jm	rdv	RVD JM-CM - ES	barrio		LISTA			ambito=jm		rdv/Comunas		R-18 — lista DISTINCT con canon del catalogo. separador vacio = ", "
ecv_inscriptos	ecv	jm	rdv	RVD JM-CM - ES	inscriptos		SUMA			ambito=jm	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_asistentes	ecv	jm	rdv	RVD JM-CM - ES	asistentes		SUMA			ambito=jm	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_insc_mail	ecv	jm	rdv	RVD JM-CM - ES	insc_mail		SUMA			ambito=jm	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_insc_cc	ecv	jm	rdv	RVD JM-CM - ES	insc_cc		SUMA			ambito=jm	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
