periodo_id	desde	hasta	notas
m2_mensual	2026-06-01	2026-06-30	M2 dentro del JM
quincena_rrss	2026-06-16	2026-06-30	Análisis RRSS
junio_sem1	2026-06-05	2026-06-11	Semana vie-jue de junio — alta para la demo del 12/08
junio_sem2	2026-06-12	2026-06-18	Semana vie-jue de junio — alta para la demo del 12/08
junio_sem3	2026-06-19	2026-06-25	Semana vie-jue de junio — alta para la demo del 12/08
julio_24_30	2026-07-24	2026-07-30	Semana vie-jue del informe vigente — alta para la demo del 12/08
vie 14/08 -- jue 20/08 (por defecto)	2026-08-14	2026-08-20	Puesto a mano
agosto_14_20	2026-08-14	2026-08-20	Semana vie-jue que el motor propone al 20/08 (R-11 Addendum 2). Alta para destrabar la carga de temario.
2026_agosto_21_27	2026-08-21	2026-08-27	Semana en curso — cargada a mano 26/08
2026_agosto_21_28	2026-08-21	2026-08-28	Asistente · paso 1 (personalizado) el 2026-08-28
2026_julio_31_06	2026-07-31	2026-08-06	Período personalizado creado desde el panel el 2026-09-01
2026_agosto_28_03	2026-08-28	2026-09-03	Semana en curso, creada desde el panel el 2026-09-02 — ⚠ la semana NO había cerrado al crearla
2026_agosto_28_04	2026-08-28	2026-09-04	Asistente · paso 1 (personalizado) el 2026-09-03
2026_julio_24_30	2026-07-24	2026-07-30	Asistente · paso 1 (personalizado) el 2026-09-08
2026_septiembre_04_10	2026-09-04	2026-09-10	Asistente · paso 1 (en_curso) el 2026-09-10
