periodo_id	orden	eje	tipo	nombre	fecha	etapa	mostrar	texto_original	id_cuenta	notas
junio_sem2		JM		Boedo	12/06/2026		sí	JM | Boedo 12/06		
junio_sem2		JM	Encuentro Temático	Almagro	16/06/2026		no	JM | Encuentro Temático en Almagro 16/06		
junio_sem2		JM	Uno a uno	Boedo	17/06/2026		sí	JM | Uno a uno en Boedo 17/06		
junio_sem2		JM		Mataderos	18/06/2026		sí	JM | Mataderos 18/06		
junio_sem2		JM	Encuentro Temático	Educación	16/06/2026		sí	JM | Encuentro Temático Educación 16/06		
agosto_14_20	1	JM	Uno a uno	Parque Avellaneda	12/08/2026		si	1) JM | Uno a uno en Parque Avellaneda 12/08 (pre + post)		pre + post
agosto_14_20	2	JM	Encuentro Temático	: Salud	14/08/2026		si	2) JM | Encuentro Temático: Salud 14/08		
julio_24_30	1	JM	Uno a uno	San Cristóbal	23/07/2026		si	1) JM | Uno a uno en San Cristóbal 23/07 (pre + post)		
julio_24_30	2	JM	Uno a uno	Retiro	24/07/2026		si	2) JM | Uno a uno en Retiro 24/07 (pre + post)		
julio_24_30	3	JM	Primera persona	con Pareto	27/07/2026		si	3) JM | Primera Persona con Pareto 27/07		
julio_24_30	4	JM	Encuentro Temático	Orden Público	28/07/2026		si	4) JM | Encuentro Temático Orden Público 28/07		
2026_agosto_21_27			Uno a uno	Coghlan	21/08/2026		sí	Uno a uno en Coghlan (21/08)	3527-AGOJDGAG	
2026_agosto_21_28			Uno a uno	Coghlan	21/08/2026		sí	Uno a uno en Coghlan (21/08)	3527-AGOJDGAG	
2026_julio_31_06	1	JM	Uno a uno	Villa Riachuelo	27/08/2026			1) JM | Uno a uno en Villa Riachuelo 27/08 (pre + post)		
2026_agosto_28_03	1	JM	Uno a uno	Villa Riachuelo	27/08/2026		sí	1) JM | Uno a uno en Villa Riachuelo 27/08 (pre + post)	3550-AGOJDGAG	
2026_agosto_28_04	1	JM	Uno a uno	Villa Riachuelo	27/08/2026		sí	1) JM | Uno a uno en Villa Riachuelo 27/08 (pre + post)	3550-AGOJDGAG	
2026_julio_24_30	1	JM	Uno a uno	Villa Riachuelo	27/08/2026		sí	1) JM | Uno a uno en Villa Riachuelo 27/08 (pre + post)	3550-AGOJDGAG	
2026_julio_24_30				Status Cercanía y M2			no	Status Cercanía y M2		no se pudo parsear
2026_julio_24_30	1	JM	Uno a uno	San Cristóbal	23/07/2026		sí	1) JM | Uno a uno en San Cristóbal 23/07 (pre + post)	3354-JULJDGAG	
2026_julio_24_30	2	JM	Uno a uno	Retiro	24/07/2026		no	2) JM | Uno a uno en Retiro 24/07 (pre + post)		
2026_julio_24_30	3	JM	Primera persona	Pareto	27/07/2026		no	3) JM | Primera Persona con Pareto 27/07		
2026_julio_24_30	4	JM	Encuentro Temático	Orden Público	28/07/2026		no	4) JM | Encuentro Temático Orden Público 28/07		
2026_septiembre_04_10		Seguimiento JS 11/09		Temario			no	Seguimiento JS 11/09 | Temario		no se pudo parsear
2026_septiembre_04_10				DGPLES			no	DGPLES		no se pudo parsear
2026_septiembre_04_10	1	JM	Uno a uno	Palermo	4/09/2026		sí	1) JM | Uno a uno en Palermo 04/09 (pre + post)	3586-AGOJDGAG	
