base_id	solapa	uso	origen	fila_encabezado	firma_encabezado	filas_datos	filas_crudas	filas_minimas	ventana_ref	campo_id_cuenta	notas
rdv	RVD JM-CM - ES	fuente	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · Semaforo politico · Síntesis cualitativa: · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	732	1363				base de encuentros, hoja_default
rdv	RVD JM-CM - ES Back Up	ignorar	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Inscriptos2 · Zona	73	1072				backup
rdv	PPTS	ignorar	manual	1	JM	41	43				sin decidir
rdv	RDV CONJUNTO	ignorar	manual	1	Figura · Barrio · Evento · Día de la semana · Fecha · Hora · Dirección · Estado · Inscriptos · Asistentes · Oradores anotados · Oradores que hablaron	766	766				sin decidir
rdv	Agenda	ignorar	manual	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · Semaforo politico · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	7	7				sin decidir
rdv	Comunas	referencia	manual	1	barrio · comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Población total por sexo, superficie y densidad de población según comuna y barrio. Ciudad de Buenos Aires. Año 2010 · Agronomía · Agronomía · 15	68	69				sin decidir
rdv	Hoja 68	ignorar	seed	1	COUNTA de Figura	52	52				hojas sueltas
rdv	Hoja 78	ignorar	seed	1	funcionario_principal_evento · barrio_evento · dia_evento · fecha_inicio_evento · hora_cita_evento · direccion_evento · Inscriptos · Asistentes · estado_evento	2	2				hojas sueltas
rdv	Aux_Maximos	derivada	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · STATUS REUNIÓN · Inscriptos · Asistentes · ID · Granularidad · Nivel · Clave · Max_Asistentes · Tot_Asistentes · Tot_Inscriptos · Cant_Reuniones · Realizada_Flag	5389	5389				auxiliares de cálculo
rdv	Datos_Unpivot	derivada	seed	1	ID · Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · STATUS REUNIÓN · CategoriaGrupo · Categoria · Valor · FechaCarga	6460	6460				auxiliares de cálculo
